"YEAR","NSW+Sum(COUNT)","QLD+Sum(COUNT)","SA+Sum(COUNT)","TAS+Sum(COUNT)","VIC+Sum(COUNT)","WA+Sum(COUNT)","ACT+Sum(COUNT)","NT+Sum(COUNT)"
"2008",542,216,600,211,438,406,392,287.5
"2009",613,254,1179,252,323,289,392,287.5
"2010",735,440,1699,2153,741,418,392,287.5
"2011",666,825,2320,573,760,460,392,287.5
"2012",705,937,3237,523,2180,623,37,287.5
"2013",898,1300,3737,639,2540,539,116,84
"2014",2096,2208,4681,1969,3749,1104,392,90
"2015",9123,7446,5239,2318,7823,2816,258,120
"2016",8220,10663,4310,2154,9065,3651,444,196
"2017",9273,11697,4337,2152,8252,3311,504,329
"2018",9067,14020,5141,2408,11548,4814,877,341
"2019",9446,13366,4985,2487,11693,5175,852,462
"2020",12652,8871,5728,3273,10256,4919,834,372
"2021",16997,9847,4226,2618,9717,5326,461,273
"2022",9527,12064,5607,2209,10628,6262,390,181
"2023",5308,11853,4801,2153,4659,2816,21,302
"2024",8154,12063,3310,2153,2825,2816,21,2622
