"RowIDs","ColumnNames","ColumnValues","JURISDICTION"
"Row0","Sum(ARRESTS)",61,"ACT"
"Row0","Sum(FINES)",0,"ACT"
"Row0","Sum(CHARGES)",267,"ACT"
"Row1","Sum(ARRESTS)",0,"NSW"
"Row1","Sum(FINES)",26153,"NSW"
"Row1","Sum(CHARGES)",48872,"NSW"
"Row2","Sum(ARRESTS)",523,"NT"
"Row2","Sum(FINES)",1233,"NT"
"Row2","Sum(CHARGES)",2198,"NT"
"Row3","Sum(ARRESTS)",61,"QLD"
"Row3","Sum(FINES)",0,"QLD"
"Row3","Sum(CHARGES)",23916,"QLD"
"Row4","Sum(ARRESTS)",272,"SA"
"Row4","Sum(FINES)",6347,"SA"
"Row4","Sum(CHARGES)",3714,"SA"
"Row5","Sum(ARRESTS)",0,"TAS"
"Row5","Sum(FINES)",0,"TAS"
"Row5","Sum(CHARGES)",0,"TAS"
"Row6","Sum(ARRESTS)",0,"VIC"
"Row6","Sum(FINES)",0,"VIC"
"Row6","Sum(CHARGES)",0,"VIC"
"Row7","Sum(ARRESTS)",25,"WA"
"Row7","Sum(FINES)",0,"WA"
"Row7","Sum(CHARGES)",11642,"WA"
